Name,Type,Level,Race,Attribute,ATK,DEF,LCK,Release_date,Rare
Dinomist Plesios,Pendulum Effect Monster,4,Machine,WATER,1700,1400,9.81,21/11/2019,True
Wave-Motion Cannon,Spell Card,,Continuous,,,,7.43,19/02/2013,True
Cosmo Queen,Normal Monster,8,Spellcaster,DARK,2900,2450,6.09,18/10/2008,True
Root Water,Normal Monster,3,Fish,WATER,900,800,2.11,03/05/2016,True
Order to Smash,Trap Card,,Normal,,,,5.79,04/03/2001,True
Galaxy-Eyes Full Armor Photon Dragon,XYZ Monster,8,Dragon,LIGHT,4000,3500,0.94,26/01/2014,True
Koa'ki Meiru Beetle,Effect Monster,4,Insect,EARTH,1900,1500,5.89,29/05/2011,False
Pandaborg,Effect Monster,4,Psychic,WATER,1700,1400,8.47,19/01/2006,False
Tri-Horned Dragon,Normal Monster,8,Dragon,DARK,2850,2350,4.99,10/09/2001,False
Oasis of Dragon Souls,Trap Card,,Continuous,,,,0.73,26/09/2003,True
Des Counterblow,Trap Card,,Continuous,,,,9.45,16/07/2011,False
Planet Pollutant Virus,Trap Card,,Normal,,,,8.76,04/03/2000,True
Berserk Gorilla,Effect Monster,4,Beast,EARTH,2000,1000,4.7,05/06/2015,True
Winged Cleaver,Normal Monster,2,Insect,EARTH,700,700,9.76,05/12/2004,False
Rigorous Reaver,Flip Effect Monster,3,Plant,FIRE,1600,100,0.08,23/04/2008,False
Storm Shooter,Effect Monster,7,Winged Beast,WIND,2300,500,1.39,11/01/2003,False
Masked Dragon,Effect Monster,3,Dragon,FIRE,1400,1100,3.51,05/10/2002,True
Overlay Sentinel,Effect Monster,4,Warrior,LIGHT,2000,0,0.6,08/01/2009,True
Lullaby of Obedience,Spell Card,,Normal,,,,9.65,02/07/2018,False
Royal Guard,Normal Monster,6,Machine,EARTH,1900,2200,6.14,29/02/2012,False
Fluffal Dog,Effect Monster,4,Fairy,EARTH,1700,1000,1.52,18/03/2007,True
Beta the Magnet Warrior,Normal Monster,4,Rock,EARTH,1700,1600,0.51,11/11/2013,True
Aquaactress Tetra,Effect Monster,1,Aqua,WATER,300,300,1.87,10/01/2005,False
Particle Fusion,Spell Card,,Normal,,,,7.99,10/03/2008,False
Neo Galaxy-Eyes Photon Dragon,XYZ Monster,8,Dragon,LIGHT,4500,3000,6.48,22/08/2014,True
Face-Off,Trap Card,,Counter,,,,5.27,17/08/2008,False
Machina Cannon,Effect Monster,8,Machine,EARTH,0,2200,4.87,02/11/2011,False
Ancient Gear Knight,Gemini Monster,4,Machine,EARTH,1800,500,7.38,07/07/2014,True
Darkblaze Dragon,Effect Monster,7,Dragon,FIRE,1200,1000,3.88,30/04/2016,True
Red-Eyes Archfiend of Lightning,Gemini Monster,6,Fiend,DARK,2500,1200,2.03,01/05/2014,True
Return of the Red-Eyes,Trap Card,,Continuous,,,,7.8,27/02/2000,False
Battleguard King,Effect Monster,8,Warrior,EARTH,3000,1100,9.45,15/06/2015,True
Resurrection of Chakra,Spell Card,,Ritual,,,,5.73,19/08/2010,False
Trident Dragion,Synchro Monster,10,Dragon,FIRE,3000,2800,3.88,15/04/2011,False
Dododo Witch,Effect Monster,4,Warrior,EARTH,1200,1600,9.61,01/09/1999,False
Cyber Dinosaur,Effect Monster,7,Machine,LIGHT,2500,1900,0.94,15/07/2004,True
Intercept Wave,Spell Card,,Quick-Play,,,,5.38,19/11/2007,True
That Six,Trap Card,,Continuous,,,,4.05,11/09/2015,False
Fabled Leviathan,Synchro Monster,10,Fiend,LIGHT,3000,2000,8.42,27/06/2012,False
Blade Knight,Effect Monster,4,Warrior,LIGHT,1600,1000,8.53,28/03/2015,False
Gem-Knight Master Diamond,Fusion Monster,9,Rock,EARTH,2900,2500,1.4,29/01/2020,True
Gift Card,Trap Card,,Normal,,,,8.86,29/06/2011,False
Brain Hazard,Trap Card,,Continuous,,,,1.56,16/11/2019,True
Ordeal of a Traveler,Trap Card,,Continuous,,,,9.17,27/03/2005,True
Mystical Shine Ball,Normal Monster,2,Fairy,LIGHT,500,500,7.31,13/03/2006,True
Fullmetalfoes Fusion,Spell Card,,Quick-Play,,,,0.01,22/05/2020,True
Subterror Nemesis Archer,Effect Monster,3,Fairy,EARTH,1600,1400,7.57,11/04/2011,False
Cyber Angel Dakini,Ritual Effect Monster,8,Fairy,LIGHT,2700,2400,2.79,01/06/2002,True
Meklord Army of Wisel,Effect Monster,4,Machine,DARK,1800,0,2.48,06/09/2012,True
Evolsaur Darwino,Effect Monster,5,Dinosaur,FIRE,2200,700,3.66,26/12/2010,False
Gogiga Gagagigo,Normal Monster,8,Reptile,WATER,2950,2800,0.7,19/12/2012,True
Gogogo Giant,Effect Monster,4,Rock,EARTH,2000,0,7.45,01/12/2010,True
Brotherhood of the Fire Fist - Leopard,Effect Monster,3,Beast-Warrior,FIRE,0,200,1.08,30/07/1999,False
Cards of Consonance,Spell Card,,Normal,,,,2.65,08/11/2009,False
Inmato,Effect Monster,3,Plant,DARK,1400,800,8.02,01/10/2013,True
Fushioh Richie,Effect Monster,7,Zombie,DARK,2600,2900,5.96,02/02/2006,False
Cry Havoc!,Trap Card,,Continuous,,,,0.29,22/11/2009,True
Delta Attacker,Spell Card,,Normal,,,,7.68,01/04/2016,True
Otohime,Spirit Monster,3,Spellcaster,LIGHT,0,100,0.23,05/04/2012,False
Otohime,Spirit Monster,3,Spellcaster,LIGHT,0,100,6.92,11/04/2011,True
Neo Flamvell Shaman,Effect Monster,3,Pyro,FIRE,1700,200,7.47,27/01/2008,True
Splash Capture,Trap Card,,Normal,,,,7.86,15/09/2001,False
Hot Red Dragon Archfiend,Synchro Monster,8,Dragon,DARK,3000,2000,3.6,19/11/2012,False
Vile Germs,Spell Card,,Equip,,,,7.2,20/01/2017,True
Union Scramble,Trap Card,,Normal,,,,1.52,21/03/2005,False
Gimmick Puppet Magnet Doll,Effect Monster,8,Machine,DARK,1000,1000,5.39,04/09/2010,False
Sun Dragon Inti,Synchro Monster,8,Dragon,LIGHT,3000,2800,0.98,08/04/2020,True
Destiny HERO - Departed,Effect Monster,2,Warrior,DARK,1000,0,4.49,20/12/2005,True
Yosenju Misak,Effect Monster,6,Beast,WIND,2300,200,9.03,10/02/2011,True
Heavy Mech Support Armor,Union Effect Monster,3,Machine,LIGHT,500,500,6.43,18/07/2016,False
Balloon Lizard,Effect Monster,4,Reptile,EARTH,500,1900,0.2,30/05/2009,True
Elf's Light,Spell Card,,Equip,,,,5.45,23/12/2016,False
Different Dimension Encounter,Trap Card,,Normal,,,,0.46,16/03/2004,False
Gishki Marker,Effect Monster,4,Aqua,WATER,1600,1200,6.83,12/07/2012,True
Magical Citadel of Endymion,Spell Card,,Field,,,,6.96,26/11/2008,False
The True Name,Spell Card,,Normal,,,,5.76,25/04/2013,True
Flash of the Forbidden Spell,Spell Card,,Normal,,,,4.72,06/08/2009,False
Crystron Quandax,Synchro Tuner Monster,4,Machine,WATER,1800,2000,3.17,14/06/2020,True
Revival of the Immortals,Trap Card,,Normal,,,,4.53,30/05/2019,False
Kagemusha Tanuki Token,Token,,Beast,,,,5.11,17/08/2012,False
Cyber Raider,Effect Monster,4,Machine,DARK,1400,1000,7.99,25/07/2006,False
Chain Material,Trap Card,,Normal,,,,2.36,23/11/1999,True
Spawn Alligator,Effect Monster,5,Reptile,WATER,2200,1000,8.33,27/08/2017,False
Vylon Disigma,XYZ Monster,4,Fairy,LIGHT,2500,2100,1.91,23/08/2015,False
Machine Angel Ritual,Spell Card,,Ritual,,,,6.15,09/07/2016,False
Shiranui Style Synthesis,Spell Card,,Field,,,,0.02,19/08/2018,False
Assault Slash,Trap Card,,Normal,,,,6.34,14/04/2012,False
Superheavy Samurai Soulclaw,Effect Monster,2,Machine,EARTH,500,500,3.03,15/03/2018,False
Elemental HERO Stratos,Effect Monster,4,Warrior,WIND,1800,300,3.88,17/03/2003,True
Arcane Apprentice,Tuner Monster,2,Spellcaster,FIRE,1000,400,7.85,17/03/2017,True
Apoqliphort Skybase,Effect Monster,9,Machine,EARTH,2900,2500,4.08,04/10/2019,False
Gateway to Chaos,Spell Card,,Field,,,,5.87,22/10/2018,True
Ultimate Axon Kicker,Fusion Monster,10,Psychic,LIGHT,2900,1700,9.59,27/07/2014,False
Bazoo the Soul-Eater,Effect Monster,4,Beast,EARTH,1600,900,2.76,16/04/2010,True
Constellar Virgo,Effect Monster,5,Fairy,LIGHT,2300,1600,6.54,06/12/2002,True
Ally Mind,Normal Tuner Monster,5,Machine,DARK,1800,1400,7.47,13/05/2018,False
Mirror Resonator,Tuner Monster,1,Fiend,LIGHT,0,0,9.52,27/06/2003,True
Mecha Sea Dragon Plesion,Effect Monster,5,Machine,WATER,2300,1800,3.01,25/08/2005,False
"Minerva, Lightsworn Maiden",Tuner Monster,3,Spellcaster,LIGHT,800,200,3.12,03/08/2015,False
Narrow Pass,Trap Card,,Continuous,,,,3.65,23/02/2003,False
Amphibious Bugroth,Fusion Monster,5,Aqua,WATER,1850,1300,8.45,27/06/2001,False
Flamvell Commando,Effect Monster,6,Pyro,FIRE,2200,200,8.74,27/06/2018,False
Dark Shade,Normal Monster,3,Fiend,WIND,1000,1000,3.54,04/04/2011,True
Sleeping Lion,Normal Monster,4,Beast,EARTH,700,1700,9.91,20/12/2014,False
Amores of Prophecy,Effect Monster,3,Spellcaster,EARTH,600,2000,1.25,16/06/2008,False
Blue Duston,Effect Monster,1,Fiend,WATER,0,1000,4.86,11/07/2015,False
Twin-Sword Marauder,Effect Monster,4,Warrior,DARK,1600,1000,9.91,17/05/2006,False
Spellbook Library of the Crescent,Spell Card,,Normal,,,,4.34,02/04/2016,False
Cocoon of Evolution,Effect Monster,3,Insect,EARTH,0,2000,0.71,14/12/1999,True
TG-SX1,Trap Card,,Normal,,,,9.35,13/11/2004,False
Brain Jacker,Flip Effect Monster,2,Fiend,DARK,200,900,6.25,26/05/2018,False
Black Feather Beacon,Trap Card,,Normal,,,,9.17,23/04/2011,False
Performapal Skullcrobat Joker,Pendulum Effect Monster,4,Spellcaster,DARK,1800,100,0.55,14/06/2014,False
Lord Poison,Effect Monster,4,Plant,WATER,1500,1000,7.3,25/04/2005,True
House Duston,Effect Monster,1,Fiend,LIGHT,0,1000,7.08,14/07/2004,True
Hyper Synchron,Tuner Monster,4,Machine,LIGHT,1600,800,6.59,15/01/2003,False
Timidity,Spell Card,,Normal,,,,4.24,22/11/2007,True
"Gaia, the Mid-Knight Sun",Effect Monster,4,Warrior,LIGHT,1600,1200,8.94,05/07/2017,False
Mammoth Graveyard,Normal Monster,3,Dinosaur,EARTH,1200,800,9.21,27/08/2006,True
Cold Feet,Spell Card,,Quick-Play,,,,6.95,25/10/2003,True
Sonic Shooter,Effect Monster,4,Winged Beast,WIND,1300,600,7.79,25/07/2011,True
Abyss Flower,Normal Monster,2,Plant,EARTH,750,400,7,02/10/2003,True
Starliege Lord Galaxion,XYZ Monster,4,Warrior,LIGHT,2000,2100,2.04,19/12/2006,True
Ojama Knight,Fusion Monster,5,Beast,LIGHT,0,2500,6.79,25/06/2014,True
Geira Guile the Cubic King,Effect Monster,2,Fairy,WIND,0,0,2.54,24/01/2003,True
Homunculus the Alchemic Being,Effect Monster,4,Plant,LIGHT,1800,1600,8.88,14/04/2008,True
Cyberdark Dragon,Fusion Monster,8,Machine,DARK,1000,1000,3.58,28/11/2007,False
Battlecruiser Dianthus,XYZ Monster,3,Plant,EARTH,2100,1800,3.23,16/10/2006,True
Ties of the Brethren,Spell Card,,Normal,,,,4.72,15/05/2007,False
Swamp Battleguard,Effect Monster,5,Warrior,EARTH,1800,1500,4.65,10/10/2017,False
Common Charity,Trap Card,,Normal,,,,6.61,27/07/2013,False
Susa Soldier,Spirit Monster,4,Thunder,EARTH,2000,1600,5.78,08/09/1999,False
Aria the Melodious Diva,Effect Monster,4,Fairy,LIGHT,1600,1200,6.21,20/06/1999,False
Exploder Dragonwing,Synchro Monster,7,Dragon,DARK,2400,1600,6.81,30/03/2007,True
Phantom Hand,Trap Card,,Continuous,,,,3.52,08/11/2017,True
Shadow Specter,Normal Monster,1,Zombie,DARK,500,200,2.42,05/03/2011,True
Force Resonator,Tuner Monster,2,Fiend,WATER,500,500,1.23,22/02/2013,True
Destiny HERO - Dreadmaster,Effect Monster,8,Warrior,DARK,0,0,2.23,26/05/2004,True
Solemn Strike,Trap Card,,Counter,,,,6.31,26/11/2008,False
Vampire Grace,Effect Monster,6,Zombie,DARK,2000,1200,0.05,29/09/2008,False
Vylon Soldier,Effect Monster,4,Fairy,LIGHT,1700,1000,6.34,20/07/2015,True
Axe of Despair,Spell Card,,Equip,,,,3.57,26/02/2007,True
Bad Reaction to Simochi,Trap Card,,Continuous,,,,2.53,21/05/2000,True
Frightfur Kraken,Fusion Monster,8,Fiend,WATER,2200,3000,6.87,13/01/1999,False
Kuriboh,Effect Monster,1,Fiend,DARK,300,200,1.8,20/05/2009,True
Kuriboh,Effect Monster,1,Fiend,DARK,300,200,9.03,29/11/2001,True
Kuriboh,Effect Monster,1,Fiend,DARK,300,200,2.78,20/05/2000,True
Guardian Sphinx,Effect Monster,5,Rock,EARTH,1700,2400,5.72,06/04/2020,True
Ljosalf of the Nordic Alfar,Effect Monster,4,Spellcaster,LIGHT,1400,1200,6.66,28/08/2009,False
Lightning Rod Lord,Effect Monster,4,Thunder,LIGHT,1800,100,1.38,13/05/2013,True
Maharaghi,Spirit Monster,4,Rock,EARTH,1200,1700,7.8,16/12/2013,True
Multiply,Spell Card,,Quick-Play,,,,6.55,13/10/2018,True
Kuriboh Token,Token,,Fiend,,,,2.21,17/02/2006,True
The Puppet Magic of Dark Ruler,Spell Card,,Normal,,,,9.91,08/06/2014,True
"Endymion, the Master Magician",Effect Monster,7,Spellcaster,DARK,2700,1700,2.6,20/11/2018,False
Xing Zhen Hu Replica,Trap Card,,Continuous,,,,9.13,11/01/2008,False
Dark Magician of Chaos,Effect Monster,8,Spellcaster,DARK,2800,2600,9.5,18/12/2009,True
Kurivolt,Effect Monster,1,Thunder,LIGHT,300,200,2.16,20/01/2001,True
Dissolverock,Normal Monster,3,Rock,EARTH,900,1000,3.83,24/02/2017,True
Ancient Gear Fist,Spell Card,,Equip,,,,7.38,26/08/2008,True
Quaking Mirror Force,Trap Card,,Normal,,,,1.37,29/12/2019,True
Valkyrie of the Nordic Ascendant,Tuner Monster,2,Fairy,LIGHT,400,800,9.82,02/03/2002,False
Elemental HERO Absolute Zero,Fusion Monster,8,Warrior,WATER,2500,2000,4.49,28/03/2012,True
Silent Insect,Effect Monster,2,Insect,EARTH,200,300,9.2,24/07/2015,False
Chopman the Desperate Outlaw,Effect Monster,3,Zombie,DARK,1100,500,7.06,20/12/2015,True
Jigabyte,Effect Monster,4,Reptile,WATER,1500,200,0.62,07/03/2020,True
Ritual Beast Tamer Wen,Effect Monster,3,Psychic,WIND,1500,1000,0.81,07/03/2000,True
Azure-Eyes Silver Dragon,Synchro Monster,9,Dragon,LIGHT,2500,3000,7.2,28/03/2014,False
Aqua Spirit,Effect Monster,4,Aqua,WATER,1600,1200,7.85,10/09/2019,False
Evilswarm Ketos,Effect Monster,4,Aqua,DARK,1750,1050,3.64,27/02/1999,False
Darklord Zerato,Effect Monster,8,Fairy,DARK,2800,2300,6.7,16/11/2009,True
Dark Scorpion Burglars,Effect Monster,4,Warrior,DARK,1000,1000,3.46,30/08/2017,True
Grave Ohja,Effect Monster,4,Rock,EARTH,1600,1500,1.4,09/01/2004,False
ZW - Asura Strike,Effect Monster,4,Fairy,FIRE,1000,1000,9.9,07/05/2006,True
"Twilight Ninja Nichirin, the Chunin",Effect Monster,6,Warrior,DARK,2300,1000,9.08,02/11/2014,False
Red Resonator,Tuner Monster,2,Fiend,FIRE,600,200,9.43,22/06/2004,True
The Lady in Wight,Effect Monster,3,Zombie,DARK,0,2200,4.4,01/01/2003,False
Strike Ninja,Effect Monster,4,Warrior,DARK,1700,1200,9.02,20/06/2018,True
Swarm of Crows,Effect Monster,5,Winged Beast,DARK,1200,1800,7.47,21/09/2015,True
Yashinoki,Normal Monster,2,Plant,EARTH,800,600,3.29,08/05/2018,True
Elemental HERO Ice Edge,Effect Monster,3,Warrior,WATER,800,900,4.84,27/01/1999,False
Flame Ruler,Effect Monster,4,Pyro,FIRE,1500,1600,4.23,01/12/2013,False
Dai-sojo of the Ice Barrier,Effect Monster,6,Spellcaster,WATER,1600,2200,8.5,26/07/2008,False
SPYRAL Super Agent,Effect Monster,4,Warrior,EARTH,1900,1200,7.73,15/12/2011,False
Synchro Cracker,Spell Card,,Normal,,,,2.13,13/01/2011,True
Ape Fighter,Effect Monster,4,Beast,DARK,1900,1200,9.9,18/10/2003,True
Diskblade Rider,Effect Monster,4,Fiend,WIND,1700,1500,5.66,13/10/2003,False
Dark Garnex the Cubic Beast,Effect Monster,2,Beast,EARTH,0,0,9.44,20/01/2006,False
Dinomic Powerload,Spell Card,,Field,,,,3.63,12/02/2019,True
Superheavy Samurai Transporter,Effect Monster,5,Machine,EARTH,1200,1800,2.46,12/12/2014,True
The Cheerful Coffin,Spell Card,,Normal,,,,2.15,09/02/2018,False
CXyz Simon the Great Moral Leader,XYZ Monster,7,Spellcaster,LIGHT,3000,2500,4.89,04/05/2006,True
Apocatequil,Effect Monster,4,Thunder,LIGHT,1800,1200,7.41,31/07/2017,False
Rose Tentacles,Effect Monster,6,Plant,EARTH,2200,1200,1.17,09/06/1999,True
Spell Calling,Spell Card,,Normal,,,,1.54,25/10/2018,False
Green Gadget,Effect Monster,4,Machine,EARTH,1400,600,6.64,17/08/2013,True
Silent Magician,Effect Monster,4,Spellcaster,LIGHT,1000,1000,4.79,25/06/2012,True
Earthbound Immortal Wiraqocha Rasca,Effect Monster,10,Winged Beast,DARK,100,100,8.41,24/10/2007,True
Javelin Beetle Pact,Spell Card,,Ritual,,,,8.33,21/07/2017,False
Red Carpet,Trap Card,,Normal,,,,4.23,10/11/2007,True
Rank-Up-Magic Raid Force,Spell Card,,Normal,,,,2.86,25/12/2012,False
Koa'ki Meiru Gravirose,Effect Monster,4,Plant,FIRE,1900,1300,9.62,20/10/2007,False
Starving Venom Fusion Dragon,Fusion Monster,8,Dragon,DARK,2800,2000,8.87,02/01/2015,False
Starving Venom Fusion Dragon,Fusion Monster,8,Dragon,DARK,2800,2000,9.8,13/01/2009,True
Claw Reacher,Normal Monster,3,Fiend,DARK,1000,800,5.47,12/12/2009,True
Ambitious Gofer,Effect Monster,6,Fiend,DARK,2400,100,5.15,28/04/2019,True
Cyberdark Horn,Effect Monster,4,Machine,DARK,800,800,8.94,10/05/2000,False
Fake Explosion,Trap Card,,Normal,,,,1.71,16/11/2005,False
Grass Phantom,Effect Monster,3,Plant,WATER,1000,1000,6.66,22/10/2017,True
Constellar Algiedi,Effect Monster,4,Spellcaster,LIGHT,1600,1400,1.84,29/10/2004,False
Superheavy Samurai Kabuto,Effect Monster,4,Machine,EARTH,1000,2000,1.85,11/05/2009,False
CXyz Mechquipped Djinn Angeneral,XYZ Monster,4,Fairy,DARK,2600,1600,9.68,01/05/2005,False
Mecha Phantom Beast Kalgriffin,Effect Monster,7,Machine,WIND,1000,2500,3.25,29/10/2008,False
Acid Trap Hole,Trap Card,,Normal,,,,3.17,10/02/2015,False
Acid Trap Hole,Trap Card,,Normal,,,,4.42,24/02/1999,False
Draw Muscle,Spell Card,,Quick-Play,,,,2.02,02/09/2016,True
Rallis the Star Bird,Effect Monster,3,Winged Beast,WIND,800,800,0.06,09/08/2015,True
Mathematician,Effect Monster,3,Spellcaster,EARTH,1500,500,6.07,09/09/2018,False
Feral Imp,Normal Monster,4,Fiend,DARK,1300,1400,1.02,28/03/2010,False
Blue-Winged Crown,Normal Monster,4,Winged Beast,WIND,1600,1200,5.44,01/12/2001,True
Curse of Aging,Trap Card,,Normal,,,,0.58,15/08/2007,False
Giant Scorpion of the Tundra,Normal Monster,3,Insect,EARTH,1100,1000,2.16,21/06/2015,True
Solemn Judgment,Trap Card,,Counter,,,,7.72,13/06/2011,True
Supporter in the Shadows,Normal Monster,3,Warrior,EARTH,1000,1000,2.77,30/11/2004,False
Black Illusion Ritual,Spell Card,,Ritual,,,,0.22,31/08/2019,True
Vylon Cube,Tuner Monster,3,Machine,LIGHT,800,800,0.97,22/09/2016,True
Elemental HERO Phoenix Enforcer,Fusion Monster,6,Warrior,FIRE,2100,1200,5.14,31/07/2004,True
Performapal Hip Hippo,Effect Monster,3,Beast,EARTH,800,800,6.24,10/09/2015,True
Puppet Master,Effect Monster,6,Fiend,DARK,0,0,6.41,11/04/2006,False
Musakani Magatama,Trap Card,,Counter,,,,4.52,27/08/2007,True
Thousand Dragon,Fusion Monster,7,Dragon,WIND,2400,2000,8.21,14/11/2004,True
Thousand Dragon,Fusion Monster,7,Dragon,WIND,2400,2000,4.12,25/06/2018,False
Gladiator Beast Bestiari,Effect Monster,4,Winged Beast,WIND,1500,800,7.74,27/05/2013,True
Mektimed Blast,Trap Card,,Normal,,,,4.18,28/09/2008,True
Mirage of Nightmare,Spell Card,,Continuous,,,,6.79,17/10/2010,True
Shogi Knight,Effect Monster,3,Beast-Warrior,EARTH,800,400,4.9,30/03/2002,True
Stellarnova Alpha,Trap Card,,Counter,,,,9.33,13/09/2010,True
Star Eater,Synchro Monster,11,Dragon,LIGHT,3200,2800,8.9,12/01/2009,False
Elemental HERO Darkbright,Fusion Monster,6,Warrior,DARK,2000,1000,6.67,12/07/2012,False
Kamionwizard,Fusion Monster,4,Spellcaster,DARK,1300,1100,3.56,07/02/2005,True
Dinomist Rush,Trap Card,,Normal,,,,1.41,07/07/2016,True
Broken Bamboo Sword,Spell Card,,Equip,,,,5.93,15/12/2006,True
Tenkabito Shien,Effect Monster,4,Pyro,FIRE,1500,1000,7.6,10/02/2013,True
Destiny HERO - Doom Lord,Effect Monster,3,Warrior,DARK,600,800,9.97,18/02/2020,True
Dragon Shrine,Spell Card,,Normal,,,,0.43,12/02/2000,True
Superheavy Samurai Blue Brawler,Effect Monster,4,Machine,EARTH,0,2000,9.33,01/07/2018,True
Hieratic Dragon of Nuit,Effect Monster,4,Dragon,LIGHT,1700,900,5.81,11/08/2011,True
Salvage Warrior,Effect Monster,5,Warrior,WATER,1900,1600,9.85,11/06/2020,False
Dark Mambele,Spell Card,,Normal,,,,5.62,05/12/2008,False
Dark Magic Inheritance,Spell Card,,Quick-Play,,,,9.33,15/05/2004,False
Lava Dragon,Effect Monster,4,Dragon,FIRE,1600,1200,8.79,08/06/1999,False
Sauropod Brachion,Effect Monster,8,Dinosaur,EARTH,1500,3000,5.97,15/08/2010,True
Giant Flea,Normal Monster,4,Insect,EARTH,1500,1200,0.99,22/12/2020,False
Score the Melodious Diva,Effect Monster,2,Fairy,LIGHT,200,200,7.97,21/11/2013,False
Guldfaxe of the Nordic Beasts,Tuner Monster,4,Beast,LIGHT,1600,1000,8.36,26/03/2004,False
Jowgen the Spiritualist,Effect Monster,3,Spellcaster,LIGHT,200,1300,4.59,10/02/2018,True
Vylon Matter,Spell Card,,Normal,,,,9.47,07/04/2017,False
Burning Algae,Effect Monster,3,Pyro,FIRE,500,1500,9.49,04/09/2015,True
Swarm of Locusts,Effect Monster,3,Insect,DARK,1000,500,6.16,31/05/2001,False
Blackwing - Kochi the Daybreak,Tuner Monster,4,Winged Beast,DARK,700,1500,4.83,28/10/2011,True
Bark of Dark Ruler,Trap Card,,Normal,,,,7.82,30/09/2012,True
Dark Smog,Trap Card,,Continuous,,,,3.4,29/06/2009,False
Destruction Swordsman Fusion,Spell Card,,Quick-Play,,,,3.11,30/09/2012,True
Dark Assailant,Normal Monster,4,Zombie,DARK,1200,1200,0.34,25/01/2019,True
Imairuka,Effect Monster,2,Sea Serpent,WATER,1000,1000,9.69,16/03/2006,False
Mist Valley Executor,Effect Monster,5,Thunder,WIND,2100,1600,9.61,21/07/2016,True
Performapal Trump Girl,Pendulum Effect Monster,2,Spellcaster,DARK,200,200,6.78,24/10/2007,False
Fossil Dyna Pachycephalo,Effect Monster,4,Rock,EARTH,1200,1300,6.34,17/10/2003,True
Neo Space,Spell Card,,Field,,,,0.76,15/06/2009,True
Alpha The Electromagnet Warrior,Effect Monster,3,Rock,EARTH,1700,1100,3.6,18/02/2013,False
XX-Saber Gardestrike,Effect Monster,5,Beast-Warrior,EARTH,2100,1400,3.32,31/05/2004,True
Serenade the Melodious Diva,Effect Monster,4,Fairy,LIGHT,400,1900,5.97,09/08/2017,False
Panther Warrior,Effect Monster,4,Beast-Warrior,EARTH,2000,1600,3.03,02/07/2019,False
Panther Warrior,Effect Monster,4,Beast-Warrior,EARTH,2000,1600,8.01,03/12/2011,True
Sea Serpent Warrior of Darkness,Normal Monster,4,Sea Serpent,WATER,1800,1500,2.86,17/04/2009,True
Descending Lost Star,Trap Card,,Normal,,,,7.6,04/02/2006,False
Gusto Griffin,Effect Monster,2,Winged Beast,WIND,800,300,4.73,23/11/2017,False
Naturia Butterfly,Tuner Monster,3,Insect,EARTH,500,1200,0.42,15/06/2001,False
Hi-Speedroid Chanbara,Synchro Monster,5,Machine,WIND,2000,1000,3.4,30/09/2011,True
Big Koala,Normal Monster,7,Beast,EARTH,2700,2000,9.82,04/02/2000,True
Doki Doki,Effect Monster,2,Rock,EARTH,500,500,0.82,06/01/2007,False
Genomix Fighter,Tuner Monster,6,Psychic,WIND,2200,1100,0.14,30/04/2014,False
Widespread Dud,Trap Card,,Continuous,,,,8.65,21/07/2019,False
Volcanic Eruption,Trap Card,,Normal,,,,9.15,04/12/2020,False
Cursed Bamboo Sword,Spell Card,,Equip,,,,4.63,03/04/2018,True
Angel of Zera,Synchro Monster,8,Fairy,LIGHT,2800,2300,5.32,10/12/2012,False
Battleguard Rage,Trap Card,,Continuous,,,,0.42,29/06/2000,True
Metalhold the Moving Blockade,Trap Card,,Continuous,,,,2.71,24/12/2016,True
Chrysalis Mole,Effect Monster,2,Rock,EARTH,700,100,8.5,04/09/2005,False
Card Blocker,Effect Monster,3,Warrior,EARTH,400,400,5.93,18/10/2009,True
Oracle of the Sun,Effect Monster,5,Spellcaster,LIGHT,1000,2000,2.55,02/10/2009,False
Flower Cardian Lightshower,Synchro Monster,8,Warrior,DARK,3000,3000,2.51,31/03/2020,False
Reptilianne Viper,Tuner Monster,2,Reptile,DARK,0,0,8.51,10/01/2013,True
Counter Counter,Trap Card,,Counter,,,,6.02,06/01/2017,False
Soundproofed,Spell Card,,Normal,,,,0.81,30/11/1999,False
Wind-Up Bat,Effect Monster,1,Machine,WIND,300,350,2.31,13/06/2014,False
Cockadoodledoo,Tuner Monster,5,Winged Beast,WIND,1600,2000,8.86,29/02/2004,True
Trakodon,Normal Monster,3,Dinosaur,EARTH,1300,800,5.47,28/08/2019,False
Anti Raigeki,Trap Card,,Normal,,,,7.01,17/05/2016,True
Arsenal Bug,Effect Monster,3,Insect,EARTH,2000,2000,7.16,20/08/2018,True
Toon Gemini Elf,Toon Monster,4,Spellcaster,EARTH,1900,900,7.48,28/11/2019,False
Constellar Antares,Effect Monster,6,Machine,LIGHT,2400,900,0.19,21/08/2001,False
Winged Egg of New Life,Normal Monster,5,Fairy,LIGHT,1400,1700,2.27,16/02/2009,False
Sealing Ceremony of Raiton,Trap Card,,Continuous,,,,7.62,06/04/2012,True
Ancient Brain,Normal Monster,3,Fiend,DARK,1000,700,0.26,14/02/2020,True
Spined Gillman,Effect Monster,3,Sea Serpent,WATER,1300,0,2.06,30/03/2002,False
Ayers Rock Sunrise,Spell Card,,Normal,,,,0.56,01/12/1999,True
Silent Doom,Spell Card,,Normal,,,,9.01,26/07/2003,False
Coach Goblin,Effect Monster,4,Fiend,EARTH,1200,1500,5.55,19/04/2017,True
